name,name_display,address,category,popos_category,neighborhood,description,photo_url,year_built,reject,reject_reason,reject_auth,latitude,longitude,route_order,open,open_hours,open_days,open_notes,seating,restrooms,wifi,views,food,indoor,exercise,art,dogs,playground,seating_notes,restrooms_notes,wifi_notes,views_notes,food_notes,exercise_notes,art_notes,dogs_notes,playground_notes,transportation,popos_id_spur,popos_rating_spur,popos_downtown_plan,notes
Corona Heights Park,Corona Heights Park,Roosevelt and Museum Ways,park,,Corona Heights,"Offering 360 degree views of San Francisco, this park is great for kids, dogs and urban hikers.",http://www.sanfranciscodays.com/photos/large/corona-heights-path.jpg,,,,,37.7652816,-122.4412377,,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,
Hamilton Recreation Center,Hamilton Recreation Center,1900 Geary Blvd,recreation center,,Western Addition,"This community recreation center boasts indoor and outdoor basketball courts, tennis courts, baseball fields, a pool and playgrounds for kids. This stunning new swimming facility features a large, heated pool and two indoor water slides.",http://www.parkscan.org/sites/default/parkphotos/70_4.jpg,,,,,37.7841401,-122.4352732,,,"Monday and Sunday: Closed
Tuesday: 9am to 9pm
Wednesday: 9am to 9pm
Thursday: 9am to 9pm
Friday: 9am to 9pm
Saturday: 9am to 5pm
","Monday and Sunday: Closed
Tuesday: 9am to 9pm
Wednesday: 9am to 9pm
Thursday: 9am to 9pm
Friday: 9am to 9pm
Saturday: 9am to 5pm",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,
Cottage Row,Cottage Row,"1 Cottage Row, between Sutter & Fillmore",architecture,,Western Addition,Cottage Row is a charming walkway comprised of Victorians cottages of historic significance. Most of the homes were built by William Hollis during the late 1860‰Û_s and 1870‰Û_s.There is also a mini park on Cottage Row.,"http://upload.wikimedia.org/wikipedia/commons/e/eb/Cottage_Row_(San_Francisco,_California).JPG",,,,,37.786997,-122.4368151,,,24/7,7 days,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,grass,,,,,,,"A short walk from Japantown and the Fillmore District, the park was recently improved with a new dog play area, retaining wall and plant beds",,,,,,
The Little Giants Ballpark,The Little Giants Ballpark,297 Terry A Francois Blvd,park,,Mission Bay,"Little Giants Park is a 50-by-50-foot replica of AT&T Park designed for little children. It includes an infield, bases, outfield and ballpark iconography that gives tomorrow's Giants the feeling that they are big leaguers playing in a real Major League ballpark.",http://farm1.staticflickr.com/44/139600241_d2b346ad3a_z.jpg,,,,,37.7752061,-122.3873984,,,Daylight Hours,7 days,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,Mini baseball diamond.,,,,,
Mission Bay Commons,Mission Bay Commons,Terry Francois Blvd. and stretches west to Third Street between Mission Bay Boulevards North and South,park,,Mission Bay,"Mission Bay Commons is the newest section of the Mission Bay Park System. Two parcels of this linear park are currently available for public use. The park begins at Terry Francois Blvd. and stretches west to Third Street between Mission Bay Boulevards North and South. Expansive turf spaces surrounded by beautiful plants and trees may be enjoyed from benches and concrete steps. Great for picnics, dogs, biking, exercise and kids.",http://mjmmg.com/wp-content/uploads/2012/06/MBP_3_660X270.jpg,,,,,37.7749295,-122.4194155,,,sunrise-10pm,7 days,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,There are picnic tables available at the Mission Creek Park Sports Courts between 401 and 451 Berry Street underneath the freeway overpass.,Public restrooms are available from 8 am to 6 pm at the Pavilion Building located at 290 Channel Street. Public restrooms are also available at 451 Berry Street from 8am to 7:30pm.,,,,,,Pets are welcome; however they must be on a leash at all times.The fenced in dog play area is located at the west end of Berry Street before 7th Street. The dog play area is open from 6 am - 10 pm. ,,,,,,Mission Bay Commons is the newest section of the Mission Bay Park System.
Alice Street Community Garden,Alice Street Community Garden,3rd & 4th Streets and Folsom & Harrison,garden,,SOMA,This small urban garden is lovingly maintained by seniors and disabled youth from the area. Individual plots of land are located beneath a hand-painted mural. Visitors are welcome to use the space for picnics during daylight hours.,http://1.bp.blogspot.com/_XhEW4n1Z3y4/TAKnqf2HJcI/AAAAAAAABR8/uE62RTsLvJQ/s1600/IMG_1111.JPG,,,,,37.7749295,-122.4194155,,,Daylight Hours,,Visitors are welcome to use the space for picnics during daylight hours.,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Benches,,,,,,,,,,,,,
Presidio Pet Cemetary,Presidio Pet Cemetary,McDowell Ave. and Cowles St.,cemetary,,Presidio,"Dating to the 1950s, this pet cemetary boasts the final resting place for beloved companions like Happy the tiger fish (loved by Kate), Bali the toy poodle (who belonged to Ltc. Boring) and Oreo (the best hamster ever). ",http://honan.net/PetCem/DSCN0631.jpg,,,,,37.8016858,-122.4670157,,,24/7,7 days,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,
16th Avenue Steps,16th Avenue Steps,16th Avenue and Moraga,steps,,Sunset,163 tiled mosaic steps are a fantastic find at 16th and Moraga in the Sunset District. Artists Aileen Barr and Colette Crutcher led the project with over 300 locals to create this stunning work of art. The mosaic features a lovely collage of natural creatures and is a joy to observe from a distance and as one climbs the steps leading towards Turtle Hill.,,,,,,37.7562384,-122.4736678,,,24/7,7 days,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,
Mount Sutro Open Space Reserve,Mount Sutro Open Space Reserve,Medical Ctr Way,mountain,,Sunset,"This often unnoticed natural site in the city, sits right behind UCSF and is home to the largest Eucalyptus forest in San Francisco. Equipped with a wonderful range of hiking and biking trails, this is a great spot for nature lovers and for those who want to just get away from the hustle and bustle of the city for a while. Those who reach the summit of this mountain will find great spots to enjoy an afternoon picnic. Nature enthusiasts can find rare native plant and animal species all along the trails of Mount Sutro. ",,,,,,37.7611138,-122.4571329,,,24/7,7 days,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"a few benches, no tables",Public restroom located at the Aldea Center,,Views can be spotted along the trails and sometimes at the summit,,,,,,,,,,
Turtle Hill/ Grand View Hill,Turtle Hill/ Grand View Hill,Moraga St & 14th Ave,hill,,Sunset,"Trek up to the top of this small, but steep hill in the Sunset District  on a clear day and you'll find a breathtaking view of this great city. Three separate routes will lead you to the top of this hill, each with at least 100 steps that may leave you trying to catch your breath when you reach the top. A few seating areas can be found for one to rest and soak in the view, or enjoy a nice picnic. The hill is covered with the original sand from when the area used to be a belt of sand dunes that led to the sea, so be prepared to empty your shoes out.",,,,,,37.7563515,-122.4709431,,,,7 days,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"a few benches, no tables",,,,,,,,,,,,,
1331 9th Avenue Parklet,1331 9th Avenue Parklet,1331 9th Avenue ,parklet,,Inner Sunset,"This cozy, wood adorned parklet is situated in the heart of the Inner Sunset, right across from one of the best bakeries in the city -- Arizmendi. It is the perfect spot to sit and relax with a nice meal or beverage from the local vendors and to watch locals interact with one another.",,,,,,37.7633993,-122.4664107,,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4-5 benches and tables,,,,,,,,,,,,,
General Store backyard,,4035 Judah St,yard,,Sunset,"This lovely backyard is set up for visitors to convene and enjoy a little coastal air. It is behind through General Store, a local artisanal furniture, clothing, tools, plants, household items and books store. ",http://thistinyhouse.com/2010/the-perfect-little-greenhouse/,,,,,37.760198,-122.505461,,,11am-7pm,7 days,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Picnic table,Restroom inside Store,,,,,Store has art exhibitions and sells local art,,,,,,,
Trouble Coffee,,4033 Judah Street,parklet,,Sunset,,http://sfgreatstreets.org/wp-content/uploads/2011/09/trouble-after-via-510-parklet..jpg,,,,,37.7603019,-122.5053772,,,,,,TRUE,,,,TRUE,,,,,,,,,,Trouble Coffee,,,,,,,,,
Outerlands,,4001 Judah,parklet,,Sunset,This large parklet has plenty of benches and landscaping. ,http://farm9.staticflickr.com/8467/8140169276_9f3f9de56f_o.jpg,,,,,37.7603525,-122.5049954,,,,,,TRUE,,,,TRUE,,,,,,,,,,Outerlands,,,,,,,,,
Cafe Abir,,1300 Fulton St,parklet,,NOPA,,http://sfgreatstreets.org/wp-content/uploads/2011/06/CafeAbir_After4.jpg,,,,,37.777048,-122.4386,,,,,,TRUE,,,,TRUE,,,,,,,,,,Cafe Abir,,,,,,,,,
MOJO,,639 Divisadero Street,parklet,,NOPA,Parklet designed by Riyad Ghannam of rg-architecture.,http://sfgreatstreets.org/wp-content/uploads/2010/11/IMG_4490.JPG,,,,,37.7755511,-122.4380723,,,,,,TRUE,,,,,,,,,,,,,,Mojo Bicycle Cafe.,,,,,,,,,
Arlequin ,,384 Hayes St,parklet,,Hayes Valley,,http://sfgreatstreets.org/wp-content/uploads/2011/09/Arlequin-after5.JPG,,,,,37.776932,-122.4228001,,,,,,TRUE,,,,TRUE,,,,,,Tables,,,,"Mad Wills Food Co, Arlequin",,,,,,,,,
Four Barrel Coffee,,375 Valencia St,parklet,,Mission,Designed by Boor Bridges Architecture,http://sfgreatstreets.org/wp-content/uploads/2011/07/FourBarrel_After2-3.jpg,,,,,37.7669748,-122.4220179,,,,,,FALSE,,,,TRUE,,,,,,No tables,Restroom inside cafe,,,Four Barrel Coffee,,,,,,,,,
FreeWheel Bike Shop,,914 Valencia St,parklet,,Mission,Parklet designed by Kanbayashi Designs; plant design by Thrive Lanscaping. Parklet hosted by Freewheel Bike Shop.,http://sfgreatstreets.org/wp-content/uploads/2011/06/Freewheel_May11-5.jpg,,,,,37.758226,-122.421332,,,,,,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,,,
Blue Fig,,990 Valencia St,parklet,,Mission,Parklet designed by Riyad Ghannam of rg-architecture.,http://farm9.staticflickr.com/8430/7803228678_33ce215de8.jpg,,,,,37.7570674,-122.4211602,,,,,,TRUE,,TRUE,,TRUE,,,,,,Tables,Restroom inside cafe,,,The Blue Fig,,,,,,,,,
Revolution Cafe,,3248 22nd Street,parklet,,Mission,Parklet designed by REBAR.,http://sfgreatstreets.org/wp-content/uploads/2010/11/22nd_street_parklet_rebar5.jpg,,,,,37.7553513,-122.4198765,,,,,,TRUE,,,,TRUE,,,,,,No tables,Restroom inside cafe,,,"Revolution Cafe, Excape from NY Pizza, Lolo",,,,,,,,,
The Crepe House,,1132 Valencia St,parklet,,Mission,Designed by Riyad Ghannam of rg-architecture.,http://sfgreatstreets.org/wp-content/uploads/2011/06/CrepeZaytoon_After2-7.jpg,,,,,37.7547677,-122.4210722,,,,,,TRUE,,TRUE,,TRUE,,,,,,Tables,Restroom inside cafe,,,"The Crepe House, Zaytoon Wraps",,,,,,,,,
Luna Rienne Gallery,,3318 22nd St ,parklet,,Mission,Parklet hosted by Luna Rienne Gallery. This artsy parklet is an outdoor installation that changes a few times a year.,http://farm9.staticflickr.com/8371/8490264706_f733efbed3.jpg,,,,,37.755514,-122.421532,,,,,Gallery hours,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,FALSE,,,Restroom inside gallery,,,,,,,,,,,,
150 California St,150 California,150 California St,popos,sun terrace,Financial District,"This view terrace is located six stories above the street level. There is a large sculpture, long periods of sunlight, and several types of seating. There are extensive views of the surrounding area.",img/popos/150_california_st.jpg,,,,,37.7935266,-122.3984843,,FALSE,09:00-18:00,,Open Business Hours,TRUE,,,,,,,,,,"40 chairs w/ 10 tables, Linear Seating: only 10'' deep, but approx 82 linear seats",None,,,No cafe,,,,,,12,Good,TRUE,
Federal Building Sky Garden,Skygarden,90 7th St,popos,sun terrace,SOMA,"Designed by Pritzker Prize winner Thom Mayne of Morphosis, this 60-foot-wide terrace on the 11th floor has stunning views to the north and south.",http://farm3.static.flickr.com/2471/3793155963_c9c1f5044c.jpg,,,,,37.7798028,-122.4119704,1,,12pm-3pm,monday-friday,To visit the San Francisco Federal Building you will need to show an American ID or international passport. A convenient self-guided tour is available from 9am to 3pm Monday through Friday. Only ‰ÛÏpublic space‰Û can be seen. Elevators and Skygarden accessible by taking elevator to the 12th floor.,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
Crocker Galleria,Crocker Galleria Roof Terrace,50 Post,popos,rooftop garden,Financial District,"Plenty of benches and lots of lovely trees, shrubs and flowers to offer some respite from the surrounding concrete jungle.",http://cdn4.pacifichorticulture.org/wp-content/uploads/2013/04/04-Rooftop-of-Crocker-Galleria-copy.jpg,,,,,37.7890063,-122.402881,4,,,,Open Business Hours,TRUE,TRUE,,TRUE,TRUE,,,,,,,Restroom inside Crocker Galleria Mall,,,Food available inside Crocker Galleria Mall Food Court,,,,,,,Excellent,,
Rincon Center,Rincon Center,121 Spear St,popos,,SOMA,This large plaza space is found in the interior courtyard between Rincon Center 1 and Rincon Center 2. It features several art sculptures and different types of seating.,img/popos/rincon_center.jpg,,,,,37.792265,-122.392848,6,FALSE,,,Open Business Hours,TRUE,,,,TRUE,,,,,,"78 on benches and chairs. Also, the cafe provides some of its own seating.",None,,,Cafe,,,,,,0,,TRUE,
Westfield Sky Terrace (Wesfield Center Mall),Westfield Sky Terrace,845 Market St,popos,rooftop garden,Downtown,"This extensive 9th floor rooftop space looks onto the dome of the mall and has views westward and sunlight. It does not have direct food service, but food may be found in the food court below in the mall.",img/popos/845_Market.jpg,,,,,37.7842346,-122.4075039,1,FALSE,,,Open Business Hours,TRUE,TRUE,,,TRUE,,,,,,"59 chairs, 10 linear seats","None, but public restrooms downstairs",,,"None, but food on the premises",,,,,,0,,TRUE,
Millenium Tower Plaza,Millenium Tower Plaza,301 Mission St,popos,atrium,SOMA,"This atrium features extensive artwork and is served by a bar/restaurant on the premises. It has various types of seating with tables, and high windows overhead.",img/popos/millenium_tower_plaza.jpg,,,,,37.7903941,-122.3966807,6,FALSE,08:00-18:00,,Open Business Hours,TRUE,TRUE,,,TRUE,,,,,,24 linear seats,Yes,,,Yes,,,,,,0,,TRUE,
Marriott Courtyard - C,Marriot Courtyard,299 2nd St,popos,,SOMA,This space features extensive landscaping with several art attractions. Comfortable seating arrangements are located throughout the space. Food service nearby inside the hotel.,img/popos/marriott_courtyard_-_c.jpg,,,,,37.7858221,-122.3967766,,FALSE,,,Open Business Hours,TRUE,TRUE,,,TRUE,,,,,,42 chairs with tables,"Yes, hotel",,,"Restaurant service nearby, starbucks outside",,,,,,0,,TRUE,
Marriott Courtyard - A (Starbucks),Marriot Courtyard Snippet,299 2nd St,popos,,SOMA,"Thayer referenced something that is not part of the open space requirement, this is pedestrian improvement requirement. Per Thayer: This open space has benches and landscaping along the sidewalk on Folsom at street level.",img/popos/marriott_courtyard_-_a.jpg,,,,,37.7858221,-122.3967766,,FALSE,08:00-17:00,,Open Business Hours,TRUE,,,,TRUE,,,,,,It appears that one bench near the entrance on 2nd Street is meant to meet this requirement. Per Thayer: 12 linear seats by bench.,None,,,cafe,,,,,,0,,TRUE,
Intercontinental Hotel_Pacific Terrace,Intercontinental Hotel - Pacific Terrace,888 Howard St,popos,,SOMA,"The Intercontinental Hotel provides two POPOS on the fourth and sixth floors. They have various seating arrangements and landscaping, each with views of the City.",img/popos/intercontinental_hotel_pacific_terrace.jpg,,,,,37.7818286,-122.4047735,,FALSE,09:00-17:00,,Open Business Hours,,TRUE,,,,,,,,,Unknown - seating arranged for private event(s),Hotel. Could use the lobby restrooms etc,,,None,,,,,,0,,TRUE,
Intercontinental Hotel_Bay Terrace,Intercontinental Hotel - Bay Terrace,888 Howard St,popos,,SOMA,"The Intercontinental Hotel provides two POPOS on the fourth and sixth floors. They have various seating arrangements and landscaping, each with views of the City.",img/popos/intercontinental_hotel_bay_terrace.jpg,,,,,37.7818286,-122.4047735,,FALSE,09:00-17:00,,Open Business Hours,TRUE,TRUE,,,,,,,,,"49 chairs, 6 chaise lounge",Hotel. Could use the lobby restrooms,,,None,,,,,,0,,TRUE,
Gap Building,Gap Building,2 Folsom St,popos,plaza,SOMA,This is a large plaza with several seating areas. Art sculptures are featured along with diverse landscaping.,img/popos/gap_building.jpg,,,,,37.7906185,-122.3905982,5,TRUE,,,Open At All Times,TRUE,,,,,,,,,,76 seats,None marked,,,None,,,,,,0,,TRUE,
Commercial Street,235 Pine,235 Pine St,popos,streetscape,Financial District,"This tree-lined street features seating for your enjoyment and relaxation. Many cafes and restaurants reside along Commercial Street, making it the perfect place to come to for a sit-down meal. Additional outdoor seating is provided during lunch hours. Open at all times.",img/popos/commercial-street-640.jpg,,,,,37.7921584,-122.400301,2,,,,Unknown,,,,,,,,,,,,,,,,,,,,,0,,TRUE,
77 Van Ness Ave,77 Van Ness,77 Van Ness Ave,popos,lobby,Civic Center,This space is in the front lobby of 77 Van Ness. It has tables and chairs and features a sculpture.,img/popos/77_van_ness.jpg,,TRUE,"Bland lobby with some metal tables and chairs and a sculpture placed as an afterthought. Security guard is friendly but not welcoming of visitors. According to him, the city has not yet officially designated this as a POPOS. It is unknown if it is not quite ""ready."" Given that it's a sucky space and far away from other spaces, not worth visiting right now.",LH,37.7761573,-122.4196352,,FALSE,,,Open Business Hours,TRUE,,,,,,,,,,12 chairs w/ tables,No,,,No,,,,,,0,,TRUE,
55 Second St - C,55 Second Atrium,55 Second St,popos,,SOMA,,55_Second_St_snippet_outside.jpg,,,,,37.7886809,-122.4004676,,FALSE,,,Open Business Hours,,,,,,,,,,,,,,,,,,,,,0,,TRUE,
345 California Center,345 California Center,345 California St,popos,plaza,Financial District,"Two POPOS can be found on the west and east sides of the building, both connected by an interior walkway. The East side features a row of benches and some planters. This shady area is a sheltered alcove, great for meeting someone before heading to another destination, or just to use as a shortcut to the other side of the block. The West side can be entered from Sansome Street, next to the Mandarin Hotel. This shady area features a few granite benches and planters with tall bamboo.",img/popos/345-california-02-640.jpg,,,,,37.7931037,-122.4005394,4,TRUE,00:00-24:00,,Open At All Times,TRUE,,,,TRUE,,,,,,Bench for ~3 people; 10 chairs w/ tables,None,,,Cafe on one snippet.,,,,,,0,,TRUE,
120 Howard St,120 Howard,120 Howard St,popos,,SOMA,This space features plants along the entirety of the snippet and is served by an espresso cart.,img/popos/120_howard_st.jpg,,,,,37.7915097,-122.3928255,4,FALSE,08:00-18:00,,Open Business Hours,,,,,TRUE,,,,,,None.,None,,,Cart,,,,,,0,,TRUE,
1 Kearny St,One Kearny,1 Kearny St,popos,rooftop garden,Financial District,This rooftop terrace has extensive views of Market St. as well as rooftop architecture of nearby buildings. Landscaping and bench seating support this space.,img/popos/1_Kearny.jpg,,,,,37.787821,-122.403665,2,FALSE,,,Open Business Hours,TRUE,TRUE,,,,,,,,,23 linear seats.,Yes,,,No,,,,,,0,,TRUE,
1 Bush Street,One Bush,1 Bush Street,popos,urban garden,Financial District,This Urban Garden provides a sunken space featuring a water fountain. Space is accessed with stairs from Bush Street and curved walkways from Market street.,img/popos/1_bush_street.jpg,,,,,37.790922,-122.4001,2,TRUE,,,Open At All Times,FALSE,,,,,,,,,,,,,,,,,,,,18,Excellent,FALSE,
Marathon Plaza,303 Second Street Plaza,303 Second St,popos,plaza,SOMA,"Large, triangular urban garden facing Second Street with a water feature, ample seating, and lush landscaping. Deli and restaurant open to the park provide food and additional seating.",img/popos/marathon_plaza.jpg,,,,,37.7850672,-122.3960082,,TRUE,00:00-24:00,,Open At All Times,TRUE,,,,TRUE,,,,,,,,,,Yes,,,,,,55,Excellent,TRUE,
101 2nd St,101 Second,101 2nd St,popos,greenhouse,SOMA,"This expansive five-story greenhouse features large trees, an abundance of natural light, and plenty of art. There are two balcony spaces with designer tables and chairs that overlook the enclosed open space. A cafe sits on the property and there is sometimes entertainment at noon for visitors to enjoy.",img/popos/101_2nd_st.jpg,,,,,37.7878824,-122.399447,,FALSE,08:00-18:00,,Open Business Hours,TRUE,,,,TRUE,,,,,,"25 linear seats on bench/ ledge. 23 tables, 69 chairs",,,,Cafe,,,,,,51,Excellent,TRUE,
555 Mission St,555 Mission,555 Mission St,popos,plaza,SOMA,This large plaza has several art and landscaping features. It is located in front of 555 Mission Streets and runs along the west side of the building. There are several distinct sitting areas with different styles of seating.,img/popos/555_mission_st.jpg,,,,,37.7886558,-122.3989937,,TRUE,00:00-24:00,,Open At All Times,TRUE,,,,TRUE,,,,,,100 linear seats and benches.,None,,,Empty retail on the plaza,,,,,,50,Excellent,TRUE,
560 Mission St,560 Mission,560 Mission St,popos,urban garden,SOMA,"This beautiful urban garden is accessible from both Mission and Jessie Streets. A tall bamboo grove transforms the surrounding concrete jungle to a more tranquil setting. Grass-coveredTerraced platforms, all at sitting height, step down toward a granite plaza filled with seating. Two cafes sit on the premise, making this a perfect lunch time spot. A shallow pool with a large kinetic sculpture adds to the allurement of the space.",img/popos/560_mission_st.jpg,,,,,37.788865,-122.399359,,TRUE,00:00-24:00,,Open At All Times,TRUE,,,,TRUE,,,,,,45 chairs with 15 tables.134 linear seating onl ledges. 10 linear seats on benches,None,,,cafe,,,,,,49,Excellent,TRUE,
199 Fremont St,199 Fremont,199 Fremont St,popos,urban garden,SOMA,"This large plaza space features extensive rock landscaping and artwork, designed in collaboration by Paul Kos, a conceptual sculptor, and Robert Haas, a poet and landscape architect. There are two adjoined areas, one of which has food service. The plaza is lined with birch trees, Sierra granite, and boulders at sitting height. The garden wall is engraved with a Haas poem and a fountain trickles in to a circular basin adding tranquility to the space.",img/popos/199_fremont_st.jpg,,,,,37.789938,-122.394841,7,TRUE,00:00-24:00,,Open At All Times,TRUE,,,,TRUE,,,,,,Rock planter box seating. Approx 114 linear seats plus 17 iondividual rocks,None,,,Cafe,,,,,,42,Excellent,TRUE,
Spear Street Plaza,160 Spear,160 Spear St,popos,urban garden,SOMA,Well landscaped walkway with seating and tables.,img/popos/spear_street_plaza.jpg,,,,,37.7918886,-122.3935037,3,FALSE,,,Open Business Hours,,,,,,,,,,,,,,,,,,,,,36,Excellent,FALSE,
