name	description	address	latitude	longitude	type	pic_1	year_built	directions	open_times	spur_rating	foursquareid	spurid	twitter_hash_tag	transportation	downtown_plan	seating	seating_notes	food	food_notes	restroom	restroom_notes	notes
Marriot Courtyard Snippet	"Thayer referenced something that is not part of the open space requirement, this is pedestrian improvement requirement.  Per Thayer:  This open space has benches and landscaping along the sidewalk on Folsom at street level."	299 2nd St	37.78577	-122.39684	snippet	Marriot Courtyard_299 2nd St_Snippet_street level.JPG			8:00am - 5:00pm			0			1	1	It appears that one bench near the entrance on 2nd Street is meant to meet this requirement.     Per Thayer:  12 linear seats by bench.	1	caf̩		None	
Marriot Courtyard	This space features extensive landscaping with several art attractions. Comfortable seating arrangements are located throughout the space. Food service nearby inside the hotel.	299 2nd St	37.78611	-122.39669	snippet	Marriot Courtyard_299 2nd St_Snippet_cafe level.JPG			Open Business Hours			0			1	1	42 chairs with tables	1	"Restaurant service nearby, starbucks outside"	1	"Yes, hotel"	
Millenium Tower Plaza	"This atrium features extensive artwork and is served by a bar/restaurant on the premises. It has various types of seating with tables, and high windows overhead."	301 Mission St	37.79052	-122.39656	atrium	301_Mission.jpg			8:00am - 6:00pm			0			1	1	24 linear seats	1	Yes	1	Yes	
Rincon Center	This large plaza space is found in the interior courtyard between Rincon Center 1 and Rincon Center 2. It features several art sculptures and different types of seating.	121 Spear St	37.79208	-122.39259	plaza	121_Spear.jpg			Open Business Hours			0			1	1	"78 on benches and chairs. Also, the caf̩ provides some of its own seating."	1	Caf̩		None	
Westfield Sky Terrace	"This extensive 9th floor rooftop space looks onto the dome of the mall and has views westward and sunlight. It does not have direct food service, but food may be found in the food court below in the mall."	845 Market St	37.78473	-122.40652	sun terrace	845 Market.jpg			Open Business Hours			0			1	1	"59 chairs, 10 linear seats"	1	"None, but food on the premises"	1	"None, but public restrooms downstairs"	
Redwood Park	"This extensively landscaped urban park offers redwood trees at the foot of the Transamerica Pyramid. It features, a tall water fountain, sculptures, and ample seating."	535 Washington St	37.79505236	-122.402168	urban park	RedwoodPark.jpg	1972		Open Business Hours	Excellent		1			0	1		0	None			
505 Sansome			37.79499	-122.40187	greenhouse		1980		Unknown	Good		2			0							Included in SPUR report but not in SF data set.
Empire Park	"Empire park, located at 642 Commercial, is an urban garden that features a water fountain and landscaping. Along Commercial in front of Empire park, there are many widened sidewalk spaces which have benches and landscaping."	642 Commercial St	37.79428	-122.40384	urban garden	642_Commercial.jpg	1988		Open Business Hours	Good		3			1	1	"15 chairs w/ tables, 8 bench seats in the park, 8 along commercial."	1	"There is food service serving the commercial street POPOS, but not directly serving that of Empire park."		None	
Embarcadero Center West	"Commercial Street throughout Embarcadero 1, 2, and 3 is a pedestrian mall on ground floor and 2nd level, which is accessed by an elaborate staircase system, flanked by waterfalls. Fountains, foliage, art work, and bench seating found throughout."	1-5 Embarcadero Center	37.79446	-122.40125	pedestrian walkway	EmbarcCtr_Commercial Street Ped Walkway1.JPG	1989		Open at all times	Fair/Good		4			1	1	"30 tables, 107 chairs, plus planter-side seating, benches."	1	Yes		None	
456 Montgomery	"This is a sunken plaza, landscaped with flowers and small water fountains. Escalators are provided to this space."	456 Montgomery St	37.79363998	-122.4027974	urban garden	456_Montgomery.jpg	1983		Open At All Times	Fair		5			0							
343 Sansome	"This fifteenth floor open space has excellent views of surrounding buildings and streets, as well as the San Francisco Bay. It has various types of seating and landscaping. It also has art in the form of a large sundial."	343 Sansome St	37.79374	-122.40146	terrace	343_Sansome.jpg	1990		10:00am - 5:00pm; Mon-Friday	Excellent		6			1	1	"18 chairs, 50 linear seats on planter box sizes."		None		None	
650 California	This open space is elevated with the street slope. A large art piece represents one entrance to the open space on California Street. This space surrounds the building and offers seating on the ledges of planter boxes.	650 California St	37.79305037	-122.4052002	plaza	650_California.jpg	1965		Open At All Times	Poor		7			0			0	None			
600 California	"A shady open space area with art in the form of sculptures. This snippet found on the northwest side of the building, up the stairs. It adjoins the open space of the adjacent building."	600 California St	37.79277	-122.40487	snippet	600_California.jpg	1990		Open At All Times	Fair		8			1	1	9 linear seats	1	Yes caf̩		None	
555 California		555 California St	37.7924598	-122.4039511	urban garden	555_California.jpg	1969		Open at all times.	Fair		9			0							
345 California	"This open space is provided in the form of a large plaza fronting California Street. Additionally, two snippets can be found on the west and east sides of the building, connected by an interior walkway. The plaza and east snippet are served by restaurant"	345 California St	37.79306	-122.40046	snippet	345_California.jpg	1986		Open at all times.	Poor		10			1	1	Benches accommodate approximately 15.	1	Sandwich shop		None	
200 California	"This pedestrian seating area is on a widened sidewalk. Pedestrians may sit on linear seating that forms a planter box. There is a small, public sculpture next to the planter box."	200 California St	37.79347	-122.39889	pedestrian walkway	200_California.jpg	1990		Open at all times.	Fair		11			1	1	24 linear		None		None	
150 California	"This view terrace is located six stories above the street level. There is a large sculpture, long periods of sunlight, and several types of seating. There are extensive views of the surrounding area."	150 California St	37.79361	-122.39864	sun terrace	150_California.jpg	2000		9:00am - 6:00pm	Good		12			1	1	"40 chairs w/ 10 tables, Linear Seating: only 10'' deep, but approx 82 linear seats"		No caf̩		None	
50 California	Plaza and wrap around walkway with seating along planters.	50 California St	37.79380746	-122.3975305	snippet	50_California.jpg	1972		Open at all times.	Excellent		13			0							
One California	Wrap around plaza area with seating near food services.	1 California St	37.79335343	-122.3972841	snippet	One_California.jpg	1970		Open At All Times	Excellent		14			0							
101 California	"This is a large plaza with planter boxes, along with smaller spaces along Davis Street. There is also space for food service to serve the plaza in the future."	100 California St	37.79358	-122.39797	urban garden	100 California.jpg	1982		Open At All Times	Excellent		15			1		"None. Stairs? Some planter box seating but doesn't meet linear seating specs (12'' H and 9'' depth"""		None		None	
100 Pine	"This Urban Garden is either accessed through the front entrance of the building or a narrow walkway on Front Street. This space offers water fountains, landscaping, and art."	100 Pine St	37.79273921	-122.3991592	urban garden	100_Pine.jpg	1972		Open Business Hours	Excellent		16			0	1		1	Yes.			
One Front & 444 Market	Plaza with no seating.	444 Market St	37.79167436	-122.3986815	plaza	444_Market.jpg	1980		Open at all times.	Poor		17			0							
One Bush	This Urban Garden provides a sunken space featuring a water fountain. Space is accessed with stairs from Bush Street and curved walkways from Market street.	1 Bush Street	37.79098054	-122.4004526	urban garden	One_bush.jpg	1959		Open At All Times	Fair/Excellent		18			0	0						
Citygroup Center	"Built with marble, and covered with glass, this greenhouse provides ample seating and tables."	1 Sansome St	37.79047982	-122.4007979	greenhouse	CitygroupCenter.jpg	1983		Open Business Hours	Excellent		19			0							
Trinity Alley		333 Bush St	37.79072814	-122.4026799	pedestrian walkway	Trinity_alley.jpg	1983		Open at all times.	Good		20			0							
Crocker Galleria		165 Sutter St	37.78927548	-122.4028214	sun terrace	Crocker_Galleria.jpg	1982		Open Business Hours	Good		21			0							
One Post	Snippets surrounding the hexagonal fence of Montgomery Bart Station sunken plaza. This space include concrete steps with some planter boxes.	1 Post St	37.78862256	-122.4026463	snippets	One_Post.jpg	1969		Open At All Times	Good		22			0							
595 Market	This plaza is located on 2nd. Street and Stevenson. Seating is only available on the steps beyon the table and seating provided for the food establishment.	595 Market St	37.78900186	-122.4007273	plazas	595_Market.jpg	1979		Open at all times.	Poor		23			0	0	Seating only on stairs.	1				
555/575 Market	"Extensive landscaping combined with water features signify this space between two high rises. Seating,however, is only availabe to employees."	555/557 Market St	37.78975722	-122.4001579	urban garden	555_Market.jpg	1965/1975		Open At All Times	Fair		24			0	0	No Seating	0	None			
525 Market	"This is a two level open space, with granite wall water fountains at the sidewalk level near Market Street and a view to the landscaped space on the second level."	525 Market St	37.79034281	-122.3997369	urban garden	525_Market.jpg	1973		Open at all times.	Excellent		25			0							
425 Market	"An open plaza between buildings with benches, trees and some landscape materials."	425 Market St	37.79111153	-122.3985102	urban garden	425_Market.jpg	1973		Open at all times.	Excellent		26			0							
14 Fremont	This open space is a through walkway between Fremont and 1rst Street that opens into an interior plaza.  A farmers market was operating on location.	14 Fremont St	37.79076641	-122.397889	pedestrian walkway & urban garden	14_Freemont_aka_50_Freemont.jpg	1983		Open at all times.	Excellent		27			0							
333 Market	Open plaza with minimal seating on the edge of planters.	333 Market St	37.79175429	-122.3977907	plaza	333_Market.jpg	1979/2008		Open at all times.	Fair		28			0							
45 Fremont			37.79093	-122.39705	pedestrian walkway		1977		unknown	Fair		29			0							Included in SPUR report but not in SF data set.
Beale Street Plaza	Large well landscaped plaza with many seating options.	50 Beale St	37.79160342	-122.3969164	urban park	50_Beale.jpg	1968		Open At All Times	Fair		30			0							
77 Beale	Plaza with high planters that provide some landscaping but no seating.	77 Beale St	37.79173693	-122.3962255	plaza & snippets	77_Beale.jpg	1970		Open At All Times	Good/Fair		31			0							
201 Mission	Initially hidden from street view there is seating along the building setback area to the right as you walk toward the door.	201 Mission St	37.79096222	-122.3951609	urban garden	201_Mission.jpg	1960s		Open At All Times	Good		32			0							
123 Mission	This large plaza features extensive landscaping and art. Seperate seating areas with seating characterize the area.	123 Mission St	37.79219	-122.39423	urban garden	123_Mission.jpg	1986		Open at all times.	Excellent		33			1	1	122 linear seats	1	Yes		No signs for any	
One Market	Plaza located on Mission Street along the rear of the building. Some planters with benches.	1 Market St	37.79363857	-122.3941062	plaza	One_Market.jpg	1976		Open at all times.	Excellent		34			0							
135 Main	Interior lobby with seating open business hours only.	135 Main St	37.79142819	-122.394112	indoor park	135_Main.jpg	1982		Open Business Hours	Good/Fair		35			0							
160 Spear	Well landscaped walkway with seating and tables.	160 Spear St	37.79154685	-122.3933711	urban garden	Spear_Street_Plaza.jpg	1983		Open at all times.	Excellent		36			0							
180 Howard	A cul-de-sac walkway with benches at the end.	180 Howard St	37.79073351	-122.3922192	pedestrian walkway	180_Howard.jpg	1980		Open At All Times	Fair		37			0							
201 Spear	Plaza with seating along planters.	201 Spear St	37.79094499	-122.3916275	urban garden	201_Spear.jpg	1982		Open at all times.	Fair		38			0							
211 Main	Open plaza with two benches and a gated children's play area through to Spear Street.	211 Main St	37.7903972	-122.3928858	plaza	211_Main.jpg	1973		Open At All Times	Poor		39			0							
221 Main	"An open plaza with some seating, landscaping and planters."	221 Main St	37.79015362	-122.3925458	plazas	221_Main.jpg	1974		Open At All Times	Fair		40			0							
301 Howard	Landscaped seating area located kitty-corner to 301 Howard.	301 Howard St	37.78968512	-122.3942667	urban garden	301_Howard.jpg	1981		Open at all times.	Fair		41			0							
199 Fremont	"This large plaza space features extensive rock landscaping and artwork. There are two adjoined areas, one of which has food service."	199 Fremont St	37.78967	-122.39491	urban garden	199_FREMONT.JPG	2000		Open at all times	Excellent		42			1	1	Rock planter box seating. Approx 114 linear seats plus 17 iondividual rocks	1	Caf̩		None	
100 First	"The large Sun Terrace features extensive landscaping and seating. Several art sculptures are featured, along with an elevated view of the street below. There is a 'grand' staircase (snippet) up to the Sun Terrace. Ground level arcade in front of building"	100 1st St	37.7891	-122.39797	sun terrace	100_First.jpg	1988		"Ground level arcade space accessible at all times, Sun Terrace open during daylight hours."	Good		43			1	1	"30 seats at 10 tables plus numerous areas to sit along built-in benches and planters, grassy areas."	1	At ground level		None observed	
25 Jessie	This urban garden include a water feature combined with a tall art piece. Seating available on the ledeges of raised water feature.	25 Jessie St	37.78961221	-122.398796	urban garden	25_jessie.jpg	1983		Open at all times.	Fair		44			0	1	Ledges around the water feature.	1	Yes.			
Golden Gate University	Concrete seating streches along the passage that connects the recessed entrance of Golden Gate University to the sidewalk on Mission Street.	536 Mission St	37.78915139	-122.3986814	snippet	Goldengateuniversity.jpg	1972/2000		Open at all times.	Good		45			0			0	None.			
49 Stevenson	This pedestrian walkway has small fountains and an art sculpture are featured in this space. Plaza seating is available for patrons of Yank Sing restaurant only.	49 Stevenson St	37.78993	-122.39938	pedestrian walkway	49_Stevenson.jpg	1984		Open at all times.	Poor		46			1	1	20 chairs	1	Yes	1	Restaurant	
71 Stevenson	"The open space connects Stevenson Street and Jessie Street, including planter boxes, a water fountaing, and seating with table outside the cafe."	71 Stevenson St	37.78902357	-122.3997831	pedestrian walkway	71_Stevenson.jpg	1983		Open at all times.	Fair		47			0							
55 Second Indoor Park	"This large, indoor ""park"" located inside the historia building has a wooden floor, tables with chairs, and large, comfortable leather chairs on a carpeted section near the large window looking out on Stevenson Street."	55 Second St	37.78874	-122.40046	indoor park	55 Second St_Indoor Park.JPG	2002		8:00am - 6:00pm	Good		48			1	1	approx 52		No	1	Located in hallway between lobby and indoor park	
55 Second Snippet	This space is located outside the rear entry of 55 Second Street. It has planter boxes that serve as seating throughout the plaza.	55 Second St	37.78895	-122.40011	snippet	55 Second St_snippet_outside.JPG	2002		8:00am - 6:00pm	Good		48			1	1	8 plus benches		No	1	Located in hallway between lobby and indoor park	
560 Mission	"This large plaza features a sculpture in a pool of water, a large bamboo grove, and various forms of seating. It is served by a cafe."	560 Mission St	37.78892	-122.39908	urban garden	560_MISSION.jpg	2002		Open at all times	Excellent		49			1	1	45 chairs with 15 tables.134 linear seating onl ledges. 10 linear seats on benches	1	caf̩		None	
555 Mission	This large plaza has several art and landscaping features. It is located in front of 555 Mission Streets and runs along the west side of the building. There are several distinct sitting areas with different styles of seating.	555 Mission St	37.7884	-122.39891	plaza	555 Mission.jpg	2008		Open at all times	Excellent		50			1	1	100 linear seats and benches.	1	Empty retail on the plaza		None	
101 Second	"This greenhouse features large trees, windows, and art. It has two levels of space and is served by a cafe."	101 2nd St	37.78803	-122.39953	greenhouse	101_Second.jpg	2000		8:00am - 6:00pm	Excellent		51			1	1	"25 linear seats on bench/  ledge. 23 tables, 69 chairs"	1	Caf̩			
Foundry Square Northeast	"This is one of three plazas fronting the intersection of 1st and Howard, forming Foundary Square. It features art sculptures and seating near a cafe."	400 Howard St	37.7888	-122.396	plaza	400_Howard.jpg	2003		Open at all times	Good/Fair		52			1	1	20 linear seats	1	Yes		None visible	
Foundry Square Northwest	"This is one of three plazas on the 1st and Howard intersection, forming Foundry Square. This space features a sculpture, landscape, and seating near food services."	500 Howard St	37.78854	-122.39631	plaza	500_Howard.jpg	2002		Open at all times	Good/Fair		52			1	1	"44 linear seating on ledges, 21 seating on planter box, 7 tables 28 chairs"	1	Yes		None visible	
Foundry Square Southeast	"This is one of three plazas on the 1st and Howard intersection, forming Foundry Square. This space features a sculpture, landscape, and seating near food services."	405 Howard St	37.78852	-122.39566	plaza	405_Howard.jpg	2002		M-F 8:00AM-6:00PM	Good/Fair		52			1	1	"15 chairs, 24 linear seat on  ledge, 45 linear seats on planter boxes sides."	1	Yes		None visible	
235 Second	"This plaza is located on the corner of 2nd St. and Clementina St. It features several types of seating, served by a cafe."	235 Second St	37.78618	-122.39721	plaza & indoor park	235_Second.jpg	2002		8:00am - 6:00pm	Good		53			1	1	62 chairs and 15 tables	1	caf̩	1	Yes	
Marriot Courtyard	"This open space has a small sitting space below street level on the corner of Folsom and Second, served by a caf̩."	299 2nd St	37.78576	-122.39668	snippet	Marriot Courtyard_299 2nd St_Snippet_cafe level.JPG	2001		8:00am - 5:00pm	Fair		54			1	1	15 chairs	1	Caf̩		None	
303 Second Street Plaza	"Large, triangular urban garden facing Second Street with a water feature, ample seating, and lush landscaping. Deli and restaurant open to the park provide food and additional seating."	303 Second St	37.78522	-122.3957	plaza	Marathon Plaza_303 2nd St_Seating_Water Feature.JPG	1980s		Open at all times.	Excellent		55			1	1		1	Yes			
611 Folsom	"Brick plaza with some trees, artwork and seating on brick structures."	611 Folsom St	37.78516765	-122.3967306	plaza	611_Folsom.jpg	1965		Open At All Times	Fair		56			0							
