name,name_display,address,category,popos_category,neighborhood,description,photo_url,year_built,reject,reject_reason,reject_auth,latitude,longitude,route_order,open,open_hours,open_days,open_notes,seating,restrooms,wifi,views,food,indoor,exercise,art,dogs,playground,seating_notes,restrooms_notes,wifi_notes,views_notes,food_notes,exercise_notes,art_notes,dogs_notes,playground_notes,transportation,popos_id_spur,popos_rating_spur,popos_downtown_plan,notes,created_at,updated_at
Seward Street Slides,Seward Street Slides,Seward and Douglass St,slide,,Castro,This unique concrete slide in the Castro is a true gem. Fun for kids and kids at heart.,http://www.sftravel.com/images/blog/seward-street-slides-two.jpg,,,,,37.757877,-122.439072,3,,mon-sun 9am-5pm,7 days,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
Douglass Playground and Dog Park,Douglass Playground and Dog Park,26th & Douglass,park,,Noe Valley,"Douglass Playground has an excellent hillside location complete with trees and rock outcroppings. Highlights include a Clubhouse, children's play area, informal lawn areas, tennis courts, and a baseball field. There are picnic tables, restrooms, and a dog park.",http://www.parkscan.org/sites/default/parkphotos/131_2.jpg,,,,,37.747829,-122.438179,1,,Daylight Hours,7 days,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Picnic table, lawn, benches",,,,,,,,,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
Corona Heights Park,Corona Heights Park,Roosevelt and Museum Ways,park,,Corona Heights,"Offering 360 degree views of San Francisco, this park is great for kids, dogs and urban hikers.",http://www.sanfranciscodays.com/photos/large/corona-heights-path.jpg,,,,,37.765282,-122.441238,,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
Hamilton Recreation Center,Hamilton Recreation Center,1900 Geary Blvd,recreation center,,Western Addition,"This community recreation center boasts indoor and outdoor basketball courts, tennis courts, baseball fields, a pool and playgrounds for kids. This stunning new swimming facility features a large, heated pool and two indoor water slides.",http://www.parkscan.org/sites/default/parkphotos/70_4.jpg,,,,,37.7844,-122.436,,,"Monday and Sunday: Closed
Tuesday: 9am to 9pm
Wednesday: 9am to 9pm
Thursday: 9am to 9pm
Friday: 9am to 9pm
Saturday: 9am to 5pm
","Monday and Sunday: Closed
Tuesday: 9am to 9pm
Wednesday: 9am to 9pm
Thursday: 9am to 9pm
Friday: 9am to 9pm
Saturday: 9am to 5pm",,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
Cottage Row,Cottage Row,"1 Cottage Row, between Sutter & Fillmore",architecture,,Western Addition,Cottage Row is a charming walkway comprised of Victorians cottages of historic significance. Most of the homes were built by William Hollis during the late 1860â€_s and 1870â€_s.There is also a mini park on Cottage Row.,"http://upload.wikimedia.org/wikipedia/commons/e/eb/Cottage_Row_(San_Francisco,_California).JPG",,,,,37.7866,-122.4323,,,24/7,7 days,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,grass,,,,,,,"A short walk from Japantown and the Fillmore District, the park was recently improved with a new dog play area, retaining wall and plant beds",,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
The Little Giants Ballpark,The Little Giants Ballpark,297 Terry A Francois Blvd,park,,Mission Bay,"Little Giants Park is a 50-by-50-foot replica of AT&T Park designed for little children. It includes an infield, bases, outfield and ballpark iconography that gives tomorrow's Giants the feeling that they are big leaguers playing in a real Major League ballpark.",http://farm1.staticflickr.com/44/139600241_d2b346ad3a_z.jpg,,,,,37.775206,-122.387398,,,Daylight Hours,7 days,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,Mini baseball diamond.,,,,,,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
Mission Bay Commons,Mission Bay Commons,Terry Francois Blvd. and stretches west to Third Street between Mission Bay Boulevards North and South,park,,Mission Bay,"Mission Bay Commons is the newest section of the Mission Bay Park System. Two parcels of this linear park are currently available for public use. The park begins at Terry Francois Blvd. and stretches west to Third Street between Mission Bay Boulevards North and South. Expansive turf spaces surrounded by beautiful plants and trees may be enjoyed from benches and concrete steps. Great for picnics, dogs, biking, exercise and kids.",http://mjmmg.com/wp-content/uploads/2012/06/MBP_3_660X270.jpg,,,,,37.77493,-122.419416,,,sunrise-10pm,7 days,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,There are picnic tables available at the Mission Creek Park Sports Courts between 401 and 451 Berry Street underneath the freeway overpass.,Public restrooms are available from 8 am to 6 pm at the Pavilion Building located at 290 Channel Street. Public restrooms are also available at 451 Berry Street from 8am to 7:30pm.,,,,,,Pets are welcome; however they must be on a leash at all times.The fenced in dog play area is located at the west end of Berry Street before 7th Street. The dog play area is open from 6 am - 10 pm. ,,,,,,Mission Bay Commons is the newest section of the Mission Bay Park System.,2013-07-13 04:23:45 UTC,2013-07-13 04:23:45 UTC
Alice Street Community Garden,Alice Street Community Garden,3rd & 4th Streets and Folsom & Harrison,garden,,SOMA,This small urban garden is lovingly maintained by seniors and disabled youth from the area. Individual plots of land are located beneath a hand-painted mural. Visitors are welcome to use the space for picnics during daylight hours.,http://1.bp.blogspot.com/_XhEW4n1Z3y4/TAKnqf2HJcI/AAAAAAAABR8/uE62RTsLvJQ/s1600/IMG_1111.JPG,,,,,37.77493,-122.419416,,,Daylight Hours,,Visitors are welcome to use the space for picnics during daylight hours.,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Benches,,,,,,,,,,,,,,2013-07-13 04:23:44 UTC,2013-07-13 04:23:44 UTC
Presidio Pet Cemetary,Presidio Pet Cemetary,McDowell Ave. and Cowles St.,cemetary,,Presidio,"Dating to the 1950s, this pet cemetary boasts the final resting place for beloved companions like Happy the tiger fish (loved by Kate), Bali the toy poodle (who belonged to Ltc. Boring) and Oreo (the best hamster ever). ",http://honan.net/PetCem/DSCN0631.jpg,,,,,37.801686,-122.467016,,,24/7,7 days,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,2013-07-13 04:23:44 UTC,2013-07-13 04:23:44 UTC
16th Avenue Steps,16th Avenue Steps,16th Avenue and Moraga,steps,,Sunset,163 tiled mosaic steps are a fantastic find at 16th and Moraga in the Sunset District. Artists Aileen Barr and Colette Crutcher led the project with over 300 locals to create this stunning work of art. The mosaic features a lovely collage of natural creatures and is a joy to observe from a distance and as one climbs the steps leading towards Turtle Hill.,,,,,,37.756238,-122.473668,,,24/7,7 days,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,2013-07-13 04:23:44 UTC,2013-07-13 04:23:44 UTC
Mount Sutro Open Space Reserve,Mount Sutro Open Space Reserve,Medical Ctr Way,mountain,,Sunset,"This often unnoticed natural site in the city, sits right behind UCSF and is home to the largest Eucalyptus forest in San Francisco. Equipped with a wonderful range of hiking and biking trails, this is a great spot for nature lovers and for those who want to just get away from the hustle and bustle of the city for a while. Those who reach the summit of this mountain will find great spots to enjoy an afternoon picnic. Nature enthusiasts can find rare native plant and animal species all along the trails of Mount Sutro. ",,,,,,37.758264,-122.457194,,,24/7,7 days,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"a few benches, no tables",Public restroom located at the Aldea Center,,Views can be spotted along the trails and sometimes at the summit,,,,,,,,,,,2013-07-13 04:23:44 UTC,2013-07-13 04:23:44 UTC
Turtle Hill/ Grand View Hill,Turtle Hill/ Grand View Hill,Moraga St & 14th Ave,hill,,Sunset,"Trek up to the top of this small, but steep hill in the Sunset District  on a clear day and you'll find a breathtaking view of this great city. Three separate routes will lead you to the top of this hill, each with at least 100 steps that may leave you trying to catch your breath when you reach the top. A few seating areas can be found for one to rest and soak in the view, or enjoy a nice picnic. The hill is covered with the original sand from when the area used to be a belt of sand dunes that led to the sea, so be prepared to empty your shoes out.",,,,,,37.756352,-122.470943,,,,7 days,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"a few benches, no tables",,,,,,,,,,,,,,2013-07-13 04:23:44 UTC,2013-07-13 04:23:44 UTC
1331 9th Avenue Parklet,1331 9th Avenue Parklet,1331 9th Avenue ,parklet,,Inner Sunset,"This cozy, wood adorned parklet is situated in the heart of the Inner Sunset, right across from one of the best bakeries in the city -- Arizmendi. It is the perfect spot to sit and relax with a nice meal or beverage from the local vendors and to watch locals interact with one another.",,,,,,37.763399,-122.466411,,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4-5 benches and tables,,,,,,,,,,,,,,2013-07-13 04:23:44 UTC,2013-07-13 04:23:44 UTC
General Store backyard,,4035 Judah St,yard,,Sunset,"This lovely backyard is set up for visitors to convene and enjoy a little coastal air. It is behind through General Store, a local artisanal furniture, clothing, tools, plants, household items and books store. ",http://thistinyhouse.com/2010/the-perfect-little-greenhouse/,,,,,37.760198,-122.505461,,,11am-7pm,7 days,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Picnic table,Restroom inside Store,,,,,Store has art exhibitions and sells local art,,,,,,,,2013-07-13 04:23:44 UTC,2013-07-13 04:23:44 UTC
Trouble Coffee,,4033 Judah Street,parklet,,Sunset,,http://sfgreatstreets.org/wp-content/uploads/2011/09/trouble-after-via-510-parklet..jpg,,,,,37.760302,-122.505377,,,,,,TRUE,,,,TRUE,,,,,,,,,,Trouble Coffee,,,,,,,,,,2013-07-13 04:23:44 UTC,2013-07-13 04:23:44 UTC
Outerlands,,4001 Judah,parklet,,Sunset,This large parklet has plenty of benches and landscaping. ,http://farm9.staticflickr.com/8467/8140169276_9f3f9de56f_o.jpg,,,,,37.760353,-122.504995,,,,,,TRUE,,,,TRUE,,,,,,,,,,Outerlands,,,,,,,,,,2013-07-13 04:23:44 UTC,2013-07-13 04:23:44 UTC
Cafe Abir,,1300 Fulton St,parklet,,NOPA,,http://sfgreatstreets.org/wp-content/uploads/2011/06/CafeAbir_After4.jpg,,,,,37.777048,-122.4386,,,,,,TRUE,,,,TRUE,,,,,,,,,,Cafe Abir,,,,,,,,,,2013-07-13 04:23:44 UTC,2013-07-13 04:23:44 UTC
MOJO,,639 Divisadero Street,parklet,,NOPA,Parklet designed by Riyad Ghannam of rg-architecture.,http://sfgreatstreets.org/wp-content/uploads/2010/11/IMG_4490.JPG,,,,,37.775551,-122.438072,,,,,,TRUE,,,,,,,,,,,,,,Mojo Bicycle Cafe.,,,,,,,,,,2013-07-13 04:23:44 UTC,2013-07-13 04:23:44 UTC
Arlequin ,,384 Hayes St,parklet,,Hayes Valley,,http://sfgreatstreets.org/wp-content/uploads/2011/09/Arlequin-after5.JPG,,,,,37.776932,-122.4228,,,,,,TRUE,,,,TRUE,,,,,,Tables,,,,"Mad Wills Food Co, Arlequin",,,,,,,,,,2013-07-13 04:23:44 UTC,2013-07-13 04:23:44 UTC
Four Barrel Coffee,,375 Valencia St,parklet,,Mission,Designed by Boor Bridges Architecture,http://sfgreatstreets.org/wp-content/uploads/2011/07/FourBarrel_After2-3.jpg,,,,,37.766975,-122.422018,,,,,,FALSE,,,,TRUE,,,,,,No tables,Restroom inside cafe,,,Four Barrel Coffee,,,,,,,,,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
FreeWheel Bike Shop,,914 Valencia St,parklet,,Mission,Parklet designed by Kanbayashi Designs; plant design by Thrive Lanscaping. Parklet hosted by Freewheel Bike Shop.,http://sfgreatstreets.org/wp-content/uploads/2011/06/Freewheel_May11-5.jpg,,,,,37.758226,-122.421332,,,,,,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,,,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Blue Fig,,990 Valencia St,parklet,,Mission,Parklet designed by Riyad Ghannam of rg-architecture.,http://farm9.staticflickr.com/8430/7803228678_33ce215de8.jpg,,,,,37.757067,-122.42116,,,,,,TRUE,,TRUE,,TRUE,,,,,,Tables,Restroom inside cafe,,,The Blue Fig,,,,,,,,,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Revolution Cafe,,3248 22nd Street,parklet,,Mission,Parklet designed by REBAR.,http://sfgreatstreets.org/wp-content/uploads/2010/11/22nd_street_parklet_rebar5.jpg,,,,,37.755351,-122.419877,,,,,,TRUE,,,,TRUE,,,,,,No tables,Restroom inside cafe,,,"Revolution Cafe, Excape from NY Pizza, Lolo",,,,,,,,,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
The Crepe House,,1132 Valencia St,parklet,,Mission,Designed by Riyad Ghannam of rg-architecture.,http://sfgreatstreets.org/wp-content/uploads/2011/06/CrepeZaytoon_After2-7.jpg,,,,,37.754768,-122.421072,,,,,,TRUE,,TRUE,,TRUE,,,,,,Tables,Restroom inside cafe,,,"The Crepe House, Zaytoon Wraps",,,,,,,,,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Luna Rienne Gallery,,3318 22nd St ,parklet,,Mission,Parklet hosted by Luna Rienne Gallery. This artsy parklet is an outdoor installation that changes a few times a year.,http://farm9.staticflickr.com/8371/8490264706_f733efbed3.jpg,,,,,37.755514,-122.421532,,,,,Gallery hours,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,TRUE,FALSE,,,Restroom inside gallery,,,,,,,,,,,,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
150 California St,150 California,150 California St,popos,sun terrace,Financial District,"This view terrace is located six stories above the street level. There is a large sculpture, long periods of sunlight, and several types of seating. There are extensive views of the surrounding area.",img/popos/150_california_st.jpg,,,,,37.79361,-122.39864,,FALSE,09:00-18:00,,Open Business Hours,TRUE,,,,,,,,,,"40 chairs w/ 10 tables, Linear Seating: only 10'' deep, but approx 82 linear seats",None,,,No cafÃ©,,,,,,12,Good,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Federal Building Sky Garden,Skygarden,90 7th St,popos,sun terrace,SOMA,"Designed by Pritzker Prize winner Thom Mayne of Morphosis, this 60-foot-wide terrace on the 11th floor has stunning views to the north and south.",http://farm3.static.flickr.com/2471/3793155963_c9c1f5044c.jpg,,,,,37.779911,-122.411835,1,,12pm-3pm,monday-friday,To visit the San Francisco Federal Building you will need to show an American ID or international passport. A convenient self-guided tour is available from 9am to 3pm Monday through Friday. Only â€œpublic spaceâ€ù can be seen. Elevators and Skygarden accessible by taking elevator to the 12th floor.,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Crocker Galleria,Crocker Galleria Roof Terrace,50 Post,popos,rooftop garden,Financial District,"Plenty of benches and lots of lovely trees, shrubs and flowers to offer some respite from the surrounding concrete jungle.",http://cdn4.pacifichorticulture.org/wp-content/uploads/2013/04/04-Rooftop-of-Crocker-Galleria-copy.jpg,,,,,37.789021,-122.402885,4,,,,Open Business Hours,TRUE,TRUE,,TRUE,TRUE,,,,,,,Restroom inside Crocker Galleria Mall,,,Food available inside Crocker Galleria Mall Food Court,,,,,,,Excellent,,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Rincon Center,Rincon Center,121 Spear St,popos,,SOMA,This large plaza space is found in the interior courtyard between Rincon Center 1 and Rincon Center 2. It features several art sculptures and different types of seating.,img/popos/rincon_center.jpg,,,,,37.79208,-122.39259,6,FALSE,,,Open Business Hours,TRUE,,,,TRUE,,,,,,"78 on benches and chairs. Also, the cafe provides some of its own seating.",None,,,Cafe,,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Westfield Sky Terrace (Wesfield Center Mall),Westfield Sky Terrace,845 Market St,popos,rooftop garden,Downtown,"This extensive 9th floor rooftop space looks onto the dome of the mall and has views westward and sunlight. It does not have direct food service, but food may be found in the food court below in the mall.",img/popos/845_Market.jpg,,,,,37.78473,-122.40652,1,FALSE,,,Open Business Hours,TRUE,TRUE,,,TRUE,,,,,,"59 chairs, 10 linear seats","None, but public restrooms downstairs",,,"None, but food on the premises",,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Millenium Tower Plaza,Millenium Tower Plaza,301 Mission St,popos,atrium,SOMA,"This atrium features extensive artwork and is served by a bar/restaurant on the premises. It has various types of seating with tables, and high windows overhead.",img/popos/millenium_tower_plaza.jpg,,,,,37.79052,-122.39656,6,FALSE,08:00-18:00,,Open Business Hours,TRUE,TRUE,,,TRUE,,,,,,24 linear seats,Yes,,,Yes,,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Marriott Courtyard - C,Marriot Courtyard,299 2nd St,popos,,SOMA,This space features extensive landscaping with several art attractions. Comfortable seating arrangements are located throughout the space. Food service nearby inside the hotel.,img/popos/marriott_courtyard_-_c.jpg,,,,,37.78611,-122.39669,,FALSE,,,Open Business Hours,TRUE,TRUE,,,TRUE,,,,,,42 chairs with tables,"Yes, hotel",,,"Restaurant service nearby, starbucks outside",,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Marriott Courtyard - A (Starbucks),Marriot Courtyard Snippet,299 2nd St,popos,,SOMA,"Thayer referenced something that is not part of the open space requirement, this is pedestrian improvement requirement. Per Thayer: This open space has benches and landscaping along the sidewalk on Folsom at street level.",img/popos/marriott_courtyard_-_a.jpg,,,,,37.78577,-122.39684,,FALSE,08:00-17:00,,Open Business Hours,TRUE,,,,TRUE,,,,,,It appears that one bench near the entrance on 2nd Street is meant to meet this requirement. Per Thayer: 12 linear seats by bench.,None,,,cafe,,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Intercontinental Hotel_Pacific Terrace,Intercontinental Hotel - Pacific Terrace,888 Howard St,popos,,SOMA,"The Intercontinental Hotel provides two POPOS on the fourth and sixth floors. They have various seating arrangements and landscaping, each with views of the City.",img/popos/intercontinental_hotel_pacific_terrace.jpg,,,,,37.78189,-122.40483,,FALSE,09:00-17:00,,Open Business Hours,,TRUE,,,,,,,,,Unknown - seating arranged for private event(s),Hotel. Could use the lobby restrooms etc,,,None,,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Intercontinental Hotel_Bay Terrace,Intercontinental Hotel - Bay Terrace,888 Howard St,popos,,SOMA,"The Intercontinental Hotel provides two POPOS on the fourth and sixth floors. They have various seating arrangements and landscaping, each with views of the City.",img/popos/intercontinental_hotel_bay_terrace.jpg,,,,,37.78197,-122.40468,,FALSE,09:00-17:00,,Open Business Hours,TRUE,TRUE,,,,,,,,,"49 chairs, 6 chaise lounge",Hotel. Could use the lobby restrooms,,,None,,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Gap Building,Gap Building,2 Folsom St,popos,plaza,SOMA,This is a large plaza with several seating areas. Art sculptures are featured along with diverse landscaping.,img/popos/gap_building.jpg,,,,,37.79123,-122.391212,5,TRUE,,,Open At All Times,TRUE,,,,,,,,,,76 seats,None marked,,,None,,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
Commercial Street,235 Pine,235 Pine St,popos,streetscape,Financial District,"This tree-lined street features seating for your enjoyment and relaxation. Many cafes and restaurants reside along Commercial Street, making it the perfect place to come to for a sit-down meal. Additional outdoor seating is provided during lunch hours. Open at all times.",img/popos/commercial-street-640.jpg,,,,,37.79439,-122.40228,2,,,,Unknown,,,,,,,,,,,,,,,,,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
77 Van Ness Ave,77 Van Ness,77 Van Ness Ave,popos,lobby,Civic Center,This space is in the front lobby of 77 Van Ness. It has tables and chairs and features a sculpture.,img/popos/77_van_ness.jpg,,TRUE,"Bland lobby with some metal tables and chairs and a sculpture placed as an afterthought. Security guard is friendly but not welcoming of visitors. According to him, the city has not yet officially designated this as a POPOS. It is unknown if it is not quite ""ready."" Given that it's a sucky space and far away from other spaces, not worth visiting right now.",LH,37.77613,-122.41971,,FALSE,,,Open Business Hours,TRUE,,,,,,,,,,12 chairs w/ tables,No,,,No,,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
55 Second St - C,55 Second Atrium,55 Second St,popos,,SOMA,,55_Second_St_snippet_outside.jpg,,,,,37.7891,-122.40041,,FALSE,,,Open Business Hours,,,,,,,,,,,,,,,,,,,,,0,,TRUE,,2013-07-13 04:23:43 UTC,2013-07-13 04:23:43 UTC
